city,city_bis,city_nospace,city_nospace_bis,city_formatted
la chapelle saint fray,la chapelle saint fray,lachapellesaintfray,lachapellesaintfray,La-Chapelle-Saint-Fray
disse sous ballon,disse sous ballon,dissesousballon,dissesousballon,Disse-Sous-Ballon
rahay,rahay,rahay,rahay,Rahay
mezieres sur ponthouin,mezieres sur ponthouin,mezieressurponthouin,mezieressurponthouin,Mezieres-Sur-Ponthouin
challes,challes,challes,challes,Challes
tennie,tennie,tennie,tennie,Tennie
maigne,maigne,maigne,maigne,Maigne
bouloire,bouloire,bouloire,bouloire,Bouloire
nuille le jalais,nuille le jalais,nuillelejalais,nuillelejalais,Nuille-Le-Jalais
ruaudin,ruaudin,ruaudin,ruaudin,Ruaudin
besse sur braye,besse sur braye,bessesurbraye,bessesurbraye,Besse-Sur-Braye
saint victeur,st victeur,saintvicteur,stvicteur,Saint-Victeur
la bruere sur loir,la bruere sur loir,labrueresurloir,labrueresurloir,La-Bruere-Sur-Loir
montabon,montabon,montabon,montabon,Montabon
tresson,tresson,tresson,tresson,Tresson
spay,spay,spay,spay,Spay
jupilles,jupilles,jupilles,jupilles,Jupilles
dureil,dureil,dureil,dureil,Dureil
louvigny,louvigny,louvigny,louvigny,Louvigny
juigne sur sarthe,juigne sur sarthe,juignesursarthe,juignesursarthe,Juigne-Sur-Sarthe
saint georges du bois,st georges du bois,saintgeorgesdubois,stgeorgesdubois,Saint-Georges-Du-Bois
les mees,les mees,lesmees,lesmees,Les-Mees
la fleche,la fleche,lafleche,lafleche,La-Fleche
saint longis,st longis,saintlongis,stlongis,Saint-Longis
cerans foulletourte,cerans foulletourte,ceransfoulletourte,ceransfoulletourte,Cerans-Foulletourte
joue l abbe,joue l abbe,jouelabbe,jouelabbe,Joue-L'Abbe
saint mars de locquenay,st mars de locquenay,saintmarsdelocquenay,stmarsdelocquenay,Saint-Mars-De-Locquenay
solesmes,solesmes,solesmes,solesmes,Solesmes
